INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (01)											
											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								
50	CASSAVA PROCESSING CENTRE II	050	113								
51	BEHIND SANGO TRANSFORMER	051	220								
52	RAKAB VENTURES	052	127								
53	BESIDE MCHAY DIAGNOSTIC CENTRE	053	270								
54	OPPOSITE ALHAJA MOSOBALAJE MOSQUE	054	150								
55	BEMBO HOTEL JUNCTION II	055	69								
56	OPPOSITE POLYTECHNIC ROAD	056	53								
57	INFRONT OF IMPACT SCHOOL	057	162								
58	BEHIND AGBAJE TRANSFORMER	058	353								
59	ALARO JUNCTION	059	127								
60	AYENI TECHNICAL ENGINEER. SANGO	060	52								
61	OPPOSITE GATEWAY BAPTIST, SANGO	061	86								
62	BESIDE OMOTOSHO OLORUNSOGO MOSQUE, ALARO	062	58								
63	ASAJU STREET OKORO AREA	063	151								
			31421								
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (09)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	BEHIND OBA AKINBIYI HIGH SCHOOL (I)	001	750								
2	I.M.G. MOKOLA I	002	726								
3	I.M.G. MOKOLA II	003	750								
4	BEHIND BISI BOOKSHOP	004	676								
5	COLOUR LABORATORY	005	726								
6	AGO TAPA	006	750								
7	ALAFIA PRIMARY SCHOOL I	007	750								
8	ALAFIA PRIMARY SCHOOL II	008	750								
9	ALAFIA PRIMARY SCHOOL III	009	750								
10	C & S NEW EDEN SCHOOL	010	750								
11	AKINLOLU PRINTERS	011	750								
12	BACK OF UNCLE JOE	012	750								
13	OPPOSITE VETERINARY, MOKOLA	013	750								
14	HEALTH CENTRE, OBA AKINBIYI HIGH SCHOOL I	014	420								
15	UPSTAIRS BEHIND C.A.C. CHURCH	015	227								
16	ALFRHO BUILDING	016	477								
17	OPPOSITE ALAFIA INSTITUTE	017	94								
18	SPEED DIGITAL WORLD.	018	151								
19	AGORO AND AGORO B & L ADVOCATE	019	125								
20	C & S NEW EDEN SCHOOL LIBRARY	020	559								
21	YEKOGUN SHOPPING COMPLEX	021	211								
22	TRANSFORMER OPPOSITE FOUNTAIN OF GRACE CHURCH	022	312								
23	BESIDE ROYAL CLINIC	023	271								
			12475								
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (10)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	U.C.H. PARK	001	750								
2	U.C.H. CANTEEN	002	1345								07089472732
3	ADEYI AVENUE	003	750								
4	BAPTIST CHURCH AREA, BODIJA	004	750								
5	FAITH MEDICAL CLINIC	005	750								
6	AWOLOWO AVENUE	006	750								7038673480
7	AJIBADE STREET JAC‐DEBO I	007	734								
8	AJIBADE STREET JAC‐DEBO II	008	610								
9	SANUSI STREET	009	604								
10	OBASA	010	769								
11	ALABIAMO STREET, BESIDE ALL SOULS	011	750								
12	OPPOSITE SUBUOLA NURSERY/PRIMARY SCHOOL	012	750								
13	ONDO STREET, OLD BODIJA	013	750								07019020698
14	ILARO STREET, OLD BODIJA	014	796								08157543507
15	OSUNTOKUN AVENUE	015	750								
16	SS PETER & PAUL BUS‐STOP	016	750								
17	OBA AKINBIYI HIGH SCHOOL II	017	750								
18	OPEN SPACE IN FRONT OF U.B.A (UCH)	018	722								
19	IN FRONT OF UCH MAIN GATE	019	45								
20	IN FRONT OF STAFF ASSOCIATION INSIDE U.C.H	020	750								
21	NASU CAR PARK	021	143								
22	IN FRONT OF ALEXANDER BROWN HALL 	022	461								
23	EKITI/OSUN STREET JUNCTION	023	318								
24	IBIKUNLE AVENUE JUNCTION 	024	171								
25	OPEN SPACE OBASA JUNCTION 	025	368								
26	OPPOSITE REDEEMED CHURCH AWOLOWO JUNCTION	026	145								
27	BEHIND HOUSING POLICE STATION	027	248								
28	IN FRONT OF EDUCATION ADVANCEMENT CENTRE	028	218								
29	BESIDE GLOBAL HARVEST CHURCH	029	296								
30	BEHIND POLICE STATION BARRACK ONDO STREET	030	398								
31	ILARO/ALABI AMO JUNCTION	031	28								
32	BODIJA INTERNATIONAL SCHOOL JUNCTION	032	455								
33	OPPOSITE ZARTECH BUILDING BODIJA	033	508								9127358349
34	OPPOSITE G.T.B. AJIBADE MOKOLA	034	511								
			18893								
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (11)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	SOUTH POLY BUS‐STOP (CAMPUS)	001	750								
2	STAFF QUARTERS UNITY HALL POLY	002	955								
3	POLY NORTH CAMPUS	003	750								
4	AROUND POLICE STATION	004	462								8067309268
5	INSIDE SANGO GARAGE	005	908								
6	MORADEYO	006	764								
7	OPE ABAYOMI	007	750								
8	INSIDE EMMANUEL COLLEGE OF THEOLOGY	008	750								
9	QUEEN'S HALL, U.I.	009	1738								8033535178
10	SULTAN BELLO HALL; U.I.	010	750								
11	MELLANBY/TEDDER HALLS, U.I.	011	1434								
12	NNAMDI AZIKWE HALL, U.I. I	012	921								
13	NNAMDI AZIKWE HALL, U.I. II	013	737								
14	INDEPENDENCE HALL, U.I.	014	1427								
15	IDIA HALL, U.I.	015	750								
16	AWOLOWO HALL, U.I.	016	750								
17	POSTAL AGENCY, ABADINA	017	750								
18	ABADINA PRIMARY SCHOOL, U.I.	018	750								
19	MECHANIC VILLAGE, SAMONDA	019	750								
20	OPPOSITE AREGBESOLA BUS STOP SOUTH POLY (CAMPUS)	020	472								
21	UNITY HALL	021	46								
22	OPEN SPACE BY ZENITH BANK	022	659								
23	OPPOSITE SPORTS CENTER, NORTH CAMPUS	023	55								
24	SANGO GARAGE	024	203								
25	NATIONAL COUNCIL OF WOMEN SOCIETY 	025	33								
26	OPPOSITE LIGHT HOUSE CHURCH ALONG UNIVERSITY OF IBADAN ROAD	026	432								
27	IN FRONT OF EMMANUEL COLEGE OF THEOLOGY SAMONDA	027	2741								07036737420
28	QUEEN'S HALL U. I. II	028	356								
29	IN FRONT OF ICT CENTRE QUEEN'S HALL	029	54								
